# SOCKS5 代理列表
# 更新时间: 2026-09-20 04:24:58 (北京时间)
# 总数: 359
# 格式: socks5://IP:PORT


# Canada - 3 个代理
socks5://68.71.252.38:4145 # Score: 60.0, RT: 0.38s
socks5://72.195.114.184:4145 # Score: 60.0, RT: 0.49s
socks5://72.223.188.67:4145 # Score: 60.0, RT: 0.57s
socks5://198.8.94.174:39078 # Score: 60.0, RT: 0.38s
socks5://192.111.130.5:17002 # Score: 60.0, RT: 0.38s
socks5://199.66.182.232:4145 # Score: 60.0, RT: 0.37s
socks5://199.66.182.243:4145 # Score: 60.0, RT: 0.41s
socks5://67.201.35.145:4145 # Score: 60.0, RT: 0.38s
socks5://184.181.217.194:4145 # Score: 60.0, RT: 0.51s
socks5://107.181.161.81:4145 # Score: 60.0, RT: 0.38s
socks5://72.205.0.67:4145 # Score: 60.0, RT: 0.50s
socks5://72.223.188.92:4145 # Score: 60.0, RT: 0.49s
socks5://184.181.178.33:4145 # Score: 60.0, RT: 0.49s
socks5://184.178.172.25:15291 # Score: 60.0, RT: 0.70s
socks5://72.207.33.64:4145 # Score: 60.0, RT: 0.51s
socks5://192.252.208.70:14282 # Score: 60.0, RT: 0.38s
socks5://107.181.168.145:4145 # Score: 60.0, RT: 0.39s
socks5://107.150.41.226:18080 # Score: 60.0, RT: 0.12s
socks5://172.86.88.139:1085 # Score: 60.0, RT: 0.17s
socks5://199.102.104.70:4145 # Score: 60.0, RT: 0.38s
socks5://199.187.210.54:4145 # Score: 60.0, RT: 0.44s
socks5://72.195.34.35:27360 # Score: 60.0, RT: 0.49s
socks5://74.119.144.60:4145 # Score: 60.0, RT: 0.38s
socks5://174.77.111.196:4145 # Score: 60.0, RT: 0.50s
socks5://72.195.114.169:4145 # Score: 60.0, RT: 0.50s
socks5://70.166.65.160:4145 # Score: 60.0, RT: 0.53s
socks5://98.191.0.47:4145 # Score: 60.0, RT: 0.50s
socks5://142.54.228.193:4145 # Score: 60.0, RT: 0.77s
socks5://184.181.217.201:4145 # Score: 60.0, RT: 0.51s
socks5://72.49.49.11:31034 # Score: 60.0, RT: 0.61s
socks5://74.119.147.209:4145 # Score: 60.0, RT: 0.40s
socks5://142.54.239.1:4145 # Score: 60.0, RT: 0.39s
socks5://184.178.172.17:4145 # Score: 60.0, RT: 0.50s
socks5://104.200.152.30:4145 # Score: 60.0, RT: 0.38s
socks5://142.54.229.249:4145 # Score: 60.0, RT: 0.38s
socks5://198.8.94.170:4145 # Score: 60.0, RT: 0.38s
socks5://68.71.247.130:4145 # Score: 60.0, RT: 0.39s
socks5://184.178.172.28:15294 # Score: 60.0, RT: 0.50s
socks5://192.111.137.35:4145 # Score: 60.0, RT: 0.39s
socks5://184.178.172.3:4145 # Score: 60.0, RT: 0.66s
socks5://142.54.231.38:4145 # Score: 60.0, RT: 0.38s
socks5://72.195.34.42:4145 # Score: 60.0, RT: 0.50s
socks5://184.178.172.18:15280 # Score: 60.0, RT: 0.50s
socks5://72.207.109.5:4145 # Score: 60.0, RT: 0.49s
socks5://184.178.172.5:15303 # Score: 60.0, RT: 0.49s
socks5://199.229.254.129:4145 # Score: 60.0, RT: 0.39s
socks5://98.182.147.97:4145 # Score: 60.0, RT: 0.51s
socks5://192.252.209.155:14455 # Score: 60.0, RT: 0.38s
socks5://192.252.216.81:4145 # Score: 60.0, RT: 0.38s
socks5://72.207.113.97:4145 # Score: 60.0, RT: 0.50s
socks5://98.188.47.132:4145 # Score: 60.0, RT: 0.50s
socks5://98.181.137.83:4145 # Score: 60.0, RT: 0.49s
socks5://172.86.88.139:1083 # Score: 60.0, RT: 0.16s
socks5://192.111.130.2:4145 # Score: 60.0, RT: 0.39s
socks5://68.71.249.158:4145 # Score: 60.0, RT: 0.38s
socks5://192.111.139.165:4145 # Score: 60.0, RT: 0.39s
socks5://70.166.167.38:57728 # Score: 60.0, RT: 0.50s
socks5://68.71.251.134:4145 # Score: 60.0, RT: 0.38s
socks5://68.71.241.33:4145 # Score: 60.0, RT: 0.38s
socks5://104.37.135.145:4145 # Score: 60.0, RT: 0.38s
socks5://192.252.220.92:17328 # Score: 60.0, RT: 0.38s
socks5://45.74.31.23:15925 # Score: 55.0, RT: 1.42s
socks5://45.74.31.30:4335 # Score: 55.0, RT: 1.95s
socks5://184.182.240.211:4145 # Score: 55.0, RT: 1.05s
socks5://49.13.22.249:10806 # Score: 55.0, RT: 1.26s
socks5://132.148.244.30:45157 # Score: 55.0, RT: 1.07s
socks5://45.74.31.50:12011 # Score: 55.0, RT: 1.52s
socks5://45.74.31.41:16985 # Score: 55.0, RT: 1.42s
socks5://172.86.88.139:1081 # Score: 55.0, RT: 1.18s
socks5://45.74.31.23:4800 # Score: 55.0, RT: 1.81s
socks5://45.74.31.42:5148 # Score: 55.0, RT: 1.70s
socks5://45.74.31.30:5260 # Score: 55.0, RT: 1.56s
socks5://45.74.31.30:6170 # Score: 55.0, RT: 1.81s
socks5://45.74.31.22:12499 # Score: 55.0, RT: 1.73s
socks5://66.42.224.229:41679 # Score: 55.0, RT: 1.17s
socks5://45.74.31.30:5124 # Score: 55.0, RT: 1.69s
socks5://45.74.31.41:16992 # Score: 55.0, RT: 1.58s
socks5://104.161.23.122:5062 # Score: 55.0, RT: 1.50s
socks5://69.61.200.104:36181 # Score: 55.0, RT: 1.66s
socks5://45.74.31.23:4172 # Score: 50.0, RT: 2.36s
socks5://160.25.83.52:1083 # Score: 50.0, RT: 2.58s
socks5://111.119.162.248:10902 # Score: 50.0, RT: 2.41s
socks5://45.74.31.25:8019 # Score: 50.0, RT: 2.97s
socks5://111.119.162.248:10929 # Score: 50.0, RT: 2.18s
socks5://45.61.188.134:44499 # Score: 50.0, RT: 2.34s
socks5://45.74.31.25:4741 # Score: 50.0, RT: 2.08s
socks5://45.74.31.23:5223 # Score: 50.0, RT: 2.53s
socks5://45.74.31.22:11382 # Score: 50.0, RT: 2.59s
socks5://45.61.129.165:9050 # Score: 50.0, RT: 2.79s
socks5://45.74.31.23:9096 # Score: 50.0, RT: 2.42s
socks5://45.74.31.30:7157 # Score: 50.0, RT: 2.95s
socks5://111.119.162.248:10926 # Score: 50.0, RT: 2.65s
socks5://45.74.31.23:5107 # Score: 50.0, RT: 2.65s
socks5://194.87.76.214:9050 # Score: 50.0, RT: 2.26s
socks5://45.74.31.50:13658 # Score: 50.0, RT: 2.77s
socks5://67.205.161.254:9050 # Score: 50.0, RT: 2.27s
socks5://49.13.22.249:10801 # Score: 50.0, RT: 2.36s
socks5://45.74.31.40:9914 # Score: 45.0, RT: 3.36s
socks5://107.173.153.250:1080 # Score: 45.0, RT: 4.07s
socks5://45.74.31.22:9263 # Score: 45.0, RT: 4.42s
socks5://45.74.31.41:16000 # Score: 45.0, RT: 4.72s
socks5://45.74.31.41:9773 # Score: 45.0, RT: 4.43s
socks5://45.74.31.23:7504 # Score: 45.0, RT: 3.30s
socks5://45.74.31.23:9657 # Score: 45.0, RT: 3.37s
socks5://45.74.31.25:5916 # Score: 45.0, RT: 3.52s
socks5://45.74.31.23:4002 # Score: 45.0, RT: 3.40s
socks5://45.74.31.42:11587 # Score: 45.0, RT: 4.39s
socks5://45.74.31.30:5077 # Score: 45.0, RT: 4.09s
socks5://45.74.31.30:7806 # Score: 45.0, RT: 3.89s
socks5://45.74.31.30:7470 # Score: 45.0, RT: 3.76s
socks5://45.74.31.23:4377 # Score: 45.0, RT: 4.06s
socks5://45.74.31.50:14357 # Score: 45.0, RT: 4.48s
socks5://45.74.31.23:8880 # Score: 45.0, RT: 4.43s
socks5://45.74.31.41:16454 # Score: 45.0, RT: 3.45s
socks5://45.74.31.30:4008 # Score: 45.0, RT: 3.14s
socks5://45.74.31.47:29312 # Score: 45.0, RT: 3.77s
socks5://45.74.31.30:5244 # Score: 45.0, RT: 4.72s
socks5://45.74.31.22:13241 # Score: 45.0, RT: 3.10s
socks5://45.74.31.22:4346 # Score: 45.0, RT: 3.94s
socks5://45.74.31.23:6153 # Score: 45.0, RT: 4.90s
socks5://45.74.31.25:10022 # Score: 45.0, RT: 4.66s
socks5://45.74.31.23:10967 # Score: 45.0, RT: 4.60s
socks5://45.74.31.41:13868 # Score: 40.0, RT: 5.28s
socks5://65.21.252.66:10814 # Score: 40.0, RT: 6.33s
socks5://45.74.31.30:7751 # Score: 40.0, RT: 5.29s
socks5://45.74.31.22:11973 # Score: 40.0, RT: 5.01s
socks5://45.74.31.25:5025 # Score: 40.0, RT: 5.21s
socks5://45.74.31.40:4955 # Score: 40.0, RT: 5.16s
socks5://31.57.219.168:6002 # Score: 40.0, RT: 6.11s
socks5://45.74.31.30:4987 # Score: 40.0, RT: 5.41s
socks5://45.74.31.23:14156 # Score: 40.0, RT: 6.16s
socks5://111.119.162.248:10928 # Score: 35.0, RT: 8.20s
